ArticleId,content,category,clean_content
1833,worldcom ex-boss launches defence lawyers defending former worldcom chief bernie ebbers against a battery of fraud charges have called a company whistleblower as their first witness.  cynthia cooper  worldcom s ex-head of internal accounting  alerted directors to irregular accounting practices at the us telecoms giant in 2002. her warnings led to the collapse of the firm following the discovery of an $11bn (£5.7bn) accounting fraud. mr ebbers has pleaded not guilty to charges of fraud and conspiracy.  prosecution lawyers have argued that mr ebbers orchestrated a series of accounting tricks at worldcom  ordering employees to hide expenses and inflate revenues to meet wall street earnings estimates. but ms cooper  who now runs her own consulting business  told a jury in new york on wednesday that external auditors arthur andersen had approved worldcom s accounting in early 2001 and 2002. she said andersen had given a  green light  to the procedures and practices used by worldcom. mr ebber s lawyers have said he was unaware of the fraud  arguing that auditors did not alert him to any problems.  ms cooper also said that during shareholder meetings mr ebbers often passed over technical questions to the company s finance chief  giving only  brief  answers himself. the prosecution s star witness  former worldcom financial chief scott sullivan  has said that mr ebbers ordered accounting adjustments at the firm  telling him to  hit our books . however  ms cooper said mr sullivan had not mentioned  anything uncomfortable  about worldcom s accounting during a 2001 audit committee meeting. mr ebbers could face a jail sentence of 85 years if convicted of all the charges he is facing. worldcom emerged from bankruptcy protection in 2004  and is now known as mci. last week  mci agreed to a buyout by verizon communications in a deal valued at $6.75bn.,business,worldcom ex boss launch defence lawyer defend former worldcom chief bernie ebber battery fraud charge call company whistleblow first witness cynthia cooper worldcom ex head internal accounting alert director irregular accounting practice us telecom giant warning lead collapse firm follow discovery accounting fraud mr ebber plead guilty charge fraud conspiracy prosecution lawyer argue mr ebber orchestrate series accounting trick worldcom order employee hide expense inflate revenue meet wall street earning estimate ms cooper run consulting business tell jury new york wednesday external auditor arthur andersen approve worldcom account early say andersen give green light procedure practice use worldcom mr ebber lawyer say unaware fraud argue auditor alert problem ms cooper also say shareholder meeting mr ebber often pass technical question company finance chief give brief answer prosecution star witness former worldcom financial chief scott sullivan say mr ebber order accounting adjustment firm tell hit book however ms cooper say mr sullivan mention anything uncomfortable worldcom accounting audit committee meeting mr ebber could face jail sentence year convict charge face worldcom emerge bankruptcy protection know mci last week mci agree buyout verizon communication deal value
154,german business confidence slides german business confidence fell in february knocking hopes of a speedy recovery in europe s largest economy.  munich-based research institute ifo said that its confidence index fell to 95.5 in february from 97.5 in january  its first decline in three months. the study found that the outlook in both the manufacturing and retail sectors had worsened. observers had been hoping that a more confident business sector would signal that economic activity was picking up.   we re surprised that the ifo index has taken such a knock   said dz bank economist bernd weidensteiner.  the main reason is probably that the domestic economy is still weak  particularly in the retail trade.  economy and labour minister wolfgang clement called the dip in february s ifo confidence figure  a very mild decline . he said that despite the retreat  the index remained at a relatively high level and that he expected  a modest economic upswing  to continue.  germany s economy grew 1.6% last year after shrinking in 2003. however  the economy contracted by 0.2% during the last three months of 2004  mainly due to the reluctance of consumers to spend. latest indications are that growth is still proving elusive and ifo president hans-werner sinn said any improvement in german domestic demand was sluggish. exports had kept things going during the first half of 2004  but demand for exports was then hit as the value of the euro hit record levels making german products less competitive overseas. on top of that  the unemployment rate has been stuck at close to 10% and manufacturing firms  including daimlerchrysler  siemens and volkswagen  have been negotiating with unions over cost cutting measures. analysts said that the ifo figures and germany s continuing problems may delay an interest rate rise by the european central bank. eurozone interest rates are at 2%  but comments from senior officials have recently focused on the threat of inflation  prompting fears that interest rates may rise.,business,german business confidence slide german business confidence fall february knock hope speedy recovery europe large economy munich base research institute ifo say confidence index fall february january first decline three month study find outlook manufacturing retail sector worsen observer hope confident business sector would signal economic activity pick surprised ifo index take knock say dz bank economist bernd weidensteiner main reason probably domestic economy still weak particularly retail trade economy labour minister wolfgang clement call dip february ifo confidence figure mild decline say despite retreat index remain relatively high level expect modest economic upswing continue germany economy grow last year shrink however economy contract last three month mainly due reluctance consumer spend late indication growth still prove elusive ifo president hans werner sinn say improvement german domestic demand sluggish export keep thing go first half demand export hit value euro hit record level make german product less competitive overseas top unemployment rate stick close manufacture firm include daimlerchrysler siemen volkswagen negotiate union cost cutting measure analyst say ifo figure germany continue problem may delay interest rate rise european central bank eurozone interest rate comment senior official recently focus threat inflation prompt fear interest rate may rise
1101,bbc poll indicates economic gloom citizens in a majority of nations surveyed in a bbc world service poll believe the world economy is worsening.  most respondents also said their national economy was getting worse. but when asked about their own family s financial outlook  a majority in 14 countries said they were positive about the future. almost 23 000 people in 22 countries were questioned for the poll  which was mostly conducted before the asian tsunami disaster. the poll found that a majority or plurality of people in 13 countries believed the economy was going downhill  compared with respondents in nine countries who believed it was improving. those surveyed in three countries were split. in percentage terms  an average of 44% of respondents in each country said the world economy was getting worse  compared to 34% who said it was improving. similarly  48% were pessimistic about their national economy  while 41% were optimistic. and 47% saw their family s economic conditions improving  as against 36% who said they were getting worse.  the poll of 22 953 people was conducted by the international polling firm globescan  together with the program on international policy attitudes (pipa) at the university of maryland.  while the world economy has picked up from difficult times just a few years ago  people seem to not have fully absorbed this development  though they are personally experiencing its effects   said pipa director steven kull.  people around the world are saying:  i m ok  but the world isn t .  there may be a perception that war  terrorism and religious and political divisions are making the world a worse place  even though that has not so far been reflected in global economic performance  says the bbc s elizabeth blunt.  the countries where people were most optimistic  both for the world and for their own families  were two fast-growing developing economies  china and india  followed by indonesia. china has seen two decades of blistering economic growth  which has led to wealth creation on a huge scale  says the bbc s louisa lim in beijing. but the results also may reflect the untrammelled confidence of people who are subject to endless government propaganda about their country s rosy economic future  our correspondent says. south korea was the most pessimistic  while respondents in italy and mexico were also quite gloomy. the bbc s david willey in rome says one reason for that result is the changeover from the lira to the euro in 2001  which is widely viewed as the biggest reason why their wages and salaries are worth less than they used to be. the philippines was among the most upbeat countries on prospects for respondents  families  but one of the most pessimistic about the world economy. pipa conducted the poll from 15 november 2004 to 3 january 2005 across 22 countries in face-to-face or telephone interviews. the interviews took place between 15 november 2004 and 5 january 2005. the margin of error is between 2.5 and 4 points  depending on the country. in eight of the countries  the sample was limited to major metropolitan areas.,business,bbc poll indicate economic gloom citizen majority nation survey bbc world service poll believe world economy worsen respondent also say national economy get bad ask family financial outlook majority country say positive future almost people country question poll mostly conduct asian tsunami disaster poll find majority plurality people country believe economy go downhill compare respondent nine country believe improve survey three country split percentage term average respondent country say world economy get bad compare say improve similarly pessimistic national economy optimistic see family economic condition improve say get bad poll people conduct international polling firm globescan together program international policy attitude pipa university maryland world economy pick difficult time year ago people seem fully absorb development though personally experience effect say pipa director steven kull people around world say ok world may perception war terrorism religious political division make world bad place even though far reflect global economic performance say bbc elizabeth blunt country people optimistic world family two fast grow develop economy china india follow indonesia china see two decade blister economic growth lead wealth creation huge scale say bbc louisa lim beijing result also may reflect untrammelled confidence people subject endless government propaganda country rosy economic future correspondent say south korea pessimistic respondent italy mexico also quite gloomy bbc david willey rome say one reason result changeover lira euro widely view big reason wage salary worth less use philippine among upbeat country prospect respondent family one pessimistic world economy pipa conduct poll november january across country face face telephone interview interview take place november january margin error point depend country eight country sample limit major metropolitan area
1976,lifestyle  governs mobile choice  faster  better or funkier hardware alone is not going to help phone firms sell more handsets  research suggests.  instead  phone firms keen to get more out of their customers should not just be pushing the technology for its own sake. consumers are far more interested in how handsets fit in with their lifestyle than they are in screen size  onboard memory or the chip inside  shows an in-depth study by handset maker ericsson.  historically in the industry there has been too much focus on using technology   said dr michael bjorn  senior advisor on mobile media at ericsson s consumer and enterprise lab.  we have to stop saying that these technologies will change their lives   he said.  we should try to speak to consumers in their own language and help them see how it fits in with what they are doing   he told the bbc news website.  for the study  ericsson interviewed 14 000 mobile phone owners on the ways they use their phone.  people s habits remain the same   said dr bjorn.  they just move the activity into the mobile phone as it s a much more convenient way to do it.   one good example of this was diary-writing among younger people  he said. while diaries have always been popular  a mobile phone -- especially one equipped with a camera -- helps them keep it in a different form. youngsters  use of text messages also reflects their desire to chat and keep in contact with friends and again just lets them do it in a slightly changed way. dr bjorn said that although consumers do what they always did but use a phone to do it  the sheer variety of what the new handset technologies make possible does gradually drive new habits and lifestyles. ericsson s research has shown that consumers divide into different  tribes  that use phones in different ways. dr bjorn said groups dubbed  pioneers  and  materialists  were most interested in trying new things and were behind the start of many trends in phone use.  for instance   he said   older people are using sms much more than they did five years ago.  this was because younger users  often the children of ageing mobile owners  encouraged older people to try it so they could keep in touch.  another factor governing the speed of change in mobile phone use was the simple speed with which new devices are bought by pioneers and materialists. only when about 25% of people have handsets with new innovations on them  such as cameras  can consumers stop worrying that if they send a picture message the person at the other end will be able to see it.  once this significant number of users is passed  use of new innovations tends to take off. dr bjorn said that early reports of camera phone usage in japan seemed to imply that the innovation was going to be a flop. however  he said  now 45% of the japanese people ericsson questioned use their camera phone at least once a month. in 2003 the figure was 29%. similarly  across europe the numbers of people taking snaps with cameras is starting to rise. in 2003 only 4% of the people in the uk took a phonecam snap at least once a month. now the figure is 14%. similar rises have been seen in many other european nations. dr bjorn said that people also used their camera phones in very different ways to film and even digital cameras.  usage patterns for digital cameras are almost exactly replacing usage patterns for analogue cameras   he said. digital cameras tend to be used on significant events such as weddings  holidays and birthdays. by contrast  he said  camera phones were being used much more to capture a moment and were being woven into everyday life.,tech,lifestyle govern mobile choice fast well funky hardware alone go help phone firm sell handset research suggest instead phone firm keen get customer push technology sake consumer far interested handset fit lifestyle screen size onboard memory chip inside show depth study handset maker ericsson historically industry much focus use technology say dr michael bjorn senior advisor mobile medium ericsson consumer enterprise lab stop say technology change life say try speak consumer language help see fit tell bbc news website study ericsson interview mobile phone owner way use phone people habit remain say dr bjorn move activity mobile phone much convenient way one good example diary writing among young people say diary always popular mobile phone especially one equip camera help keep different form youngster use text message also reflect desire chat keep contact friend let slightly change way dr bjorn say although consumer always use phone sheer variety new handset technology make possible gradually drive new habit lifestyle ericsson research show consumer divide different tribe use phone different way dr bjorn say group dub pioneer materialist interested try new thing behind start many trend phone use instance say old people use sms much five year ago young user often child age mobile owner encourage old people try could keep touch another factor govern speed change mobile phone use simple speed new device buy pioneer materialist people handset new innovation camera consumer stop worry send picture message person end able see significant number user pass use new innovation tend take dr bjorn say early report camera phone usage japan seem imply innovation go flop however say japanese people ericsson question use camera phone least month figure similarly across europe number people take snap camera start rise people uk take phonecam snap least month figure similar rise see many european nation dr bjorn say people also use camera phone different way film even digital camera usage pattern digital camera almost exactly replace usage pattern analogue camera say digital camera tend use significant event wedding holiday birthday contrast say camera phone use much capture moment weave everyday life
917,enron bosses in $168m payout eighteen former enron directors have agreed a $168m (£89m) settlement deal in a shareholder lawsuit over the collapse of the energy firm.  leading plaintiff  the university of california  announced the news  adding that 10 of the former directors will pay $13m from their own pockets. the settlement will be put to the courts for approval next week. enron went bankrupt in 2001 after it emerged it had hidden hundreds of millions of dollars in debt.  before its collapse  the firm was the seventh biggest public us company by revenue. its demise sent shockwaves through financial markets and dented investor confidence in corporate america.   the settlement is very significant in holding these outside directors at least partially personally responsible   william lerach  the lawyer leading the class action suit against enron  said.  hopefully  this will help send a message to corporate boardrooms of the importance of directors performing their legal duties   he added. under the terms of the $168m settlement - $155m of which will be covered by insurance - none of the 18 former directors will admit any wrongdoing. the deal is the fourth major settlement negotiated by lawyers who filed a class action on behalf of enron s shareholders almost three years ago. so far  including the latest deal  just under $500m (£378.8m) has been retrieved for investors.  however  the latest deal does not include former enron chief executives ken lay and jeff skilling. both men are facing criminal charges for their alleged misconduct in the run up to the firm s collapse. neither does it cover andrew fastow  who has pleaded guilty to taking part in an illegal conspiracy while he was chief financial officer at the group. enron s shareholders are still seeking damages from a long list of other big name defendants including the financial institutions jp morgan chase  citigroup  merrill lynch and credit suisse first boston. the university of california said the trial in the case is scheduled to begin in october 2006. it joined the lawsuit in december 2001alleging  massive insider trading  and fraud  claiming it had lost $145m on its investments in the company.,business,enron boss payout eighteen former enron director agree settlement deal shareholder lawsuit collapse energy firm lead plaintiff university california announce news add former director pay pocket settlement put court approval next week enron go bankrupt emerge hide hundred million dollar debt collapse firm seventh big public us company revenue demise send shockwave financial market dent investor confidence corporate america settlement significant hold outside director least partially personally responsible william lerach lawyer lead class action suit enron say hopefully help send message corporate boardroom importance director perform legal duty add term settlement cover insurance none former director admit wrongdoing deal fourth major settlement negotiate lawyer file class action behalf enron shareholder almost three year ago far include late deal retrieve investor however late deal include former enron chief executive ken lay jeff skilling man face criminal charge allege misconduct run firm collapse neither cover andrew fastow plead guilty take part illegal conspiracy chief financial officer group enron shareholder still seek damage long list big name defendant include financial institution jp morgan chase citigroup merrill lynch credit suisse first boston university california say trial case schedule begin october join lawsuit december massive insider trading fraud claim lose investment company
1582,howard  truanted to play snooker  conservative leader michael howard has admitted he used to play truant to spend time with his school friends at a snooker hall.  mr howard said his time at jack s snooker hall in llanelli in the 1950s had not done him  any lasting damage . but he told the times educational supplement that truancy was  very bad  and said  firm action  was needed. mr howard also called for a return to o-levels and more classroom discipline.  mr howard eventually left llanelli grammar school - and the snooker hall - to go to cambridge university. he said:  i don t think it s done me any lasting damage. nor has it made me a snooker world champion.  there might have been some occasions when we left early of an afternoon.   i m just being honest. i think truancy is a very bad thing and that firm action should be taken to deal with it.  another player who has failed to win snooker s world championship - jimmy  the whirlwind   white - has previously admitted missing lessons  instead spending his days in smoky halls.  tony meo [another player] and me used to spend all of our spare time there   mr white said   we loved the game and the atmosphere.  school went out of the window. i went for a while and then started taking time off.  mr howard s fellow welshman ray reardon - known by his fellow professionals as  dracula  - won the snooker world championship six times  having left school at 14 to work as a miner. and terry griffiths  like mr howard from llanelli  won the tournament in 1979. it is not known whether the two of them ever clashed cues at jack s.,politics,howard truante play snooker conservative leader michael howard admit use play truant spend time school friend snooker hall mr howard say time jack snooker hall llanelli do lasting damage tell time educational supplement truancy bad say firm action need mr howard also call return level classroom discipline mr howard eventually leave llanelli grammar school snooker hall go cambridge university say think do lasting damage make snooker world champion might occasion leave early afternoon honest think truancy bad thing firm action take deal another player fail win snooker world championship jimmy whirlwind white previously admit miss lesson instead spend day smoky hall tony meo another player use spend spare time mr white say love game atmosphere school go window go start take time mr howard fellow welshman ray reardon know fellow professional dracula snooker world championship six time leave school work miner terry griffith like mr howard llanelli tournament know whether two ever clash cue jack
651,wales silent on grand slam talk rhys williams says wales are still not thinking of winning the grand slam despite a third six nations win.   that s the last thing on our minds at the moment   said williams  a second- half replacement in saturday s 24-18 win over france in paris.  we all realise how difficult a task it is to go up to scotland and beat them.  we ve come unstuck there a couple of times recently so our focus is on that game and we ll worry about ireland hopefully after we ve beaten scotland.  with captain gareth thomas ruled out of the rest of the campaign with a broken thumb  williams is vying for his first start in the championship so far.  kevin morgan is probably favourite to replace thomas at full-back  leaving williams and hal luscombe to battle for the right wing berth. a hamstring injury denied luscombe the opportunity to make a third successive start  but the dragons winger is expected to be fit for the trip to murrayfield on 13 march. hooker robin mcbryde is doubtful after picking up a knee injury in paris  but centre sonny parker and flanker colin charvis are set to recover from injury to be in contention for selection. said wales assistant coach scott johnson:  they ve worked through the weekend and the reports are a bit more positive.  so we re getting a couple back and that adds to the depth of the squad.  scotland secured their first win of the campaign on saturday by grinding out an 18-10 win over italy.  matt williams  side has shown little in attack  but johnson insisted the scots will be difficult opposition to break down.  italy are really brave opposition and sometimes it s very hard to win   he said.  so an ugly win can be just as effective as a 30 or 40 point victory.  scotland are a hard side and very underrated so we re not taking anything for granted.  we re not basking in the glory of winning our first three games. we ve got to be diligent in our preparation.  that s my job and we ve got to make sure we re focused.,sport,wale silent grand slam talk rhy williams say wale still think win grand slam despite third six nation win last thing mind moment say williams half replacement saturday win france paris realise difficult task go scotland beat come unstuck couple time recently focus game worry ireland hopefully beat scotland captain gareth thomas rule rest campaign broken thumb williams vie first start championship far kevin morgan probably favourite replace thomas full back leave williams hal luscombe battle right wing berth hamstring injury deny luscombe opportunity make third successive start dragon winger expect fit trip murrayfield march hooker robin mcbryde doubtful pick knee injury paris centre sonny parker flanker colin charvis set recover injury contention selection say wale assistant coach scott johnson work weekend report bit positive get couple back add depth squad scotland secure first win campaign saturday grind win italy matt williams side show little attack johnson insist scot difficult opposition break italy really brave opposition sometimes hard win say ugly win effective point victory scotland hard side underrated take anything grant bask glory win first three game get diligent preparation job get make sure focus
1797,french honour for director parker british film director sir alan parker has been made an officer in the order of arts and letters  one of france s highest cultural honours.  sir alan received his decoration in paris on wednesday from french culture minister renaud donnedieu de vabres.  you have explored the possibilities of film with an immense talent   mr de vabres said as he presented the award. parker praised french films  saying:  hollywood  which created modern cinema  uses it only as a commodity.  he told the minister:  i am honoured to be thus distinguished by france  the flag carrier of cinema throughout the world.  sir alan s films include oscar-winning fame plus midnight express and the commitments.  a founding member of the director s guild of great britain  he is a former chairman of the uk film council and on the board of the british film institute.  through your work and your campaigns  you have shown us how the artist occupies an essential place in our contemporary society   mr de vabres said.  through your dreams which you show us  through the links that you weave  you question the world through the mirror of your work.  he also cited the director s 2003 film the life of david gale  in which kevin spacey played a man on death row  as proof of his  veritable artistic commitment against the death sentence .,entertainment,french honour director parker british film director sir alan parker make officer order art letter one france high cultural honour sir alan receive decoration paris wednesday french culture minister renaud donnedieu de vabre explore possibility film immense talent mr de vabres say present award parker praise french film say hollywood create modern cinema use commodity tell minister honour thus distinguish france flag carrier cinema throughout world sir alan film include oscar win fame plus midnight express commitment found member director guild great britain former chairman uk film council board british film institute work campaign show we artist occupy essential place contemporary society mr de vabre say dream show we link weave question world mirror work also cite director film life david gale kevin spacey play man death row proof veritable artistic commitment death sentence
2034,car giant hit by mercedes slump a slump in profitability at luxury car maker mercedes has prompted a big drop in profits at parent daimlerchrysler.  the german-us carmaker saw fourth quarter operating profits fall to 785m euros ($1bn) from 2.4bn euros in 2003. mercedes-benz s woes - its profits slid to just 20m euros - obscured a strong performance from the chrysler group whose returns met market expectations. mercedes faces fierce competition in the luxury car sector from bmw and but hopes to revive its fortunes by 2006.  mercedes  profits over the period compared unfavourably with 2003 s 784m euro figure and were well below analyst expectations of 374m euros. for the year as a whole  its operating profits fell 46% to 1.6bn euros. sales of mercedes  brands fell 2% as demand cooled  while revenues were affected by the weakness of the us dollar.  the carmaker blamed the fall in profits on high launch costs for new models and losses from its mercedes smart mini-car range. mercedes is hoping to increase productivity by 3bn euros  having negotiated 500m euros in annual savings with german workers last year. the firm said it was determined to retain mercedes  position as the world s most successful luxury brand. however  daimlerchrysler s shares fell 1.5% on the news.  while all these divisions are doing well the big worries continue to surround mercedes-benz   michael rabb  an analyst with bank sal oppenheim  told reuters.  in contrast  chrysler enjoyed a 5% annual increase in unit sales while revenues - calculated in us dollars - rose 10%. the us division - whose marques include dodge and jeep - transformed a full year operating loss of 506m euros in 2003 into a 1.4bn euros profit last year.  overall  daimlerchrysler saw worldwide vehicle sales rise 8% to 4.7 million in 2004 while total revenues added 4% to 142bn euros. chrysler s strong performance helped the world s fifth largest carmaker boost net income by 400m euros to 2.5bn euros.   the year 2004 shows that our strategy works well - even in such a challenging competitive environment   said jurgen schrempp  daimlerchrysler s chairman. daimlerchrysler took a 475m euro hit in costs stemming from a defects scandal at its joint venture  japanese subsidiary fuso. daimlerchrysler last week agreed a compensation package with partner mitsubishi motors which will see it buy out its stake in fuso. looking forward  daimerchrysler s profits are expected to be slightly higher in 2005. however  it is expecting  significant improvements  in profitability in 2006 as a result of a major investment in the mercedes product range.,business,car giant hit mercede slump slump profitability luxury car maker mercede prompt big drop profit parent daimlerchrysler german us carmaker see fourth quarter operate profit fall euros euro mercedes benz woe profit slide euros obscure strong performance chrysler group whose return meet market expectation mercede face fierce competition luxury car sector bmw hope revive fortune mercede profit period compare unfavourably euro figure well analyst expectation euro year whole operating profit fall euro sale mercede brand fall demand cool revenue affect weakness us dollar carmaker blame fall profit high launch cost new model loss mercede smart mini car range mercede hope increase productivity euro negotiate euro annual saving german worker last year firm say determined retain mercede position world successful luxury brand however daimlerchrysler share fall news division well big worry continue surround mercedes benz michael rabb analyst bank sal oppenheim tell reuter contrast chrysler enjoy annual increase unit sale revenue calculate we dollar rise us division whose marque include dodge jeep transform full year operating loss euro euros profit last year overall daimlerchrysler see worldwide vehicle sale rise million total revenue add euro chrysler strong performance help world fifth large carmaker boost net income euro euro year show strategy work well even challenging competitive environment say jurgen schrempp daimlerchrysler chairman daimlerchrysler take euro hit cost stem defect scandal joint venture japanese subsidiary fuso daimlerchrysler last week agree compensation package partner mitsubishi motors see buy stake fuso look forward daimerchrysler profit expect slightly high however expect significant improvement profitability result major investment mercede product range
1866,fockers fuel festive film chart comedy meet the fockers topped the festive box office in north america  setting a new record for christmas day.  the sequel took $44.7m (£23.2m) between 24 and 26 december  according to studio estimates. it took $19.1m (£9.9m) on christmas day alone  the highest takings on that day in box office history. meet the fockers is the sequel to ben stiller comedy meet the parents  also starring robert de niro  blythe danner  dustin hoffman and barbra streisand. despite the success of meet the fockers  takings were down 26.5% on 2003 s figures - which was blamed on christmas falling over a weekend this year.   when christmas falls on a weekend  it s bad for business   said paul dergarabedian  president of exhibitor relations  which compiles box office statistics. the weekend s top 12 films took an estimated $121.9m (£63.3m)  compared with $165.8m (£86.1m) last year  when the third lord of the rings film dominated the box office. meet the fockers knocked last week s top film  lemony snicket s a series of unfortunate events  down to third place  with $12.5m (£6.5m). comedy fat albert - co-written by bill cosby - entered the chart in second place after opening on christmas day  taking $12.7m (£6.6m). the aviator  starring leonardo dicaprio as howard hughes  took $9.4m after expanding from 40 to 1 796 cinemas on christmas day.,entertainment,focker fuel festive film chart comedy meet focker top festive box office north america set new record christmas day sequel take december accord studio estimate take christmas day alone high taking day box office history meet focker sequel ben stiller comedy meet parent also star robert de niro blythe danner dustin hoffman barbra streisand despite success meet focker taking figure blame christmas fall weekend year christmas fall weekend bad business say paul dergarabedian president exhibitor relation compile box office statistic weekend top film take estimated compare last year third lord ring film dominate box office meet focker knock last week top film lemony snicket series unfortunate event third place comedy fat albert co write bill cosby enter chart second place opening christmas day take aviator star leonardo dicaprio howard hughe take expand cinema christmas day
